上下对开 上下對開
左手指领劲 左手指領勁
左手指领劲下旋 左手指領勁下旋
左手掌心向下 左手掌心向下
左手掌心向右 左手掌心向右
左手推右手臂 左手推右手臂
左手继续外旋至掌心向右 左手繼續外旋至掌心向右
左手翻掌至掌心向斜下 左手翻掌至掌心向斜下
左手臂微外旋 左手臂微外旋
左手里合于左肩前 左手裡合於左肩前
左手随左移 左手隨左移
左手随身体右转向右前划弧至右肩前 左手隨身體右轉向右前划弧至右肩前
左拳下落于右肋处 左拳下落於右肋處
左拳下落于右胯前 左拳下落於右胯前
左拳下落于小腹前 左拳下落於小腹前
左拳下落于腹前 左拳下落於腹前
左拳变掌下落于左大腿内侧 左拳變掌下落於左大腿內側
左拳后拉到左腰上 左拳後拉到左腰上
左拳向左膝正前方冲拳 左拳向左膝正前方冲拳
左拳在左小腹前 左拳在左小腹前
左拳随右转向右到身体前方 左拳隨右轉向右到身體前方
左掌上抬 左掌上抬
左掌下按于左膝盖上方 左掌下按於左膝蓋上方
左掌右拳前后拉开 左掌右拳前後拉開
左掌外推 左掌外推
左掌外穿 左掌外穿
左掌心向右前方 左掌心向右前方
左掌里合于小腹前 左掌裡合於小腹前
左肘下沉 左肘下沉
左肘往后击出 左肘往後擊出
左肘里合 左肘裡合
左肘里折 左肘裡折
左腿向后 左腿向後
左腿向左撤步 左腿向左撤步
左腿左膝领劲慢慢往上提 左腿左膝領勁慢慢往上提
左臂内旋 左臂內旋
左臂内旋至掌心向外于膝盖上方穿掌 左臂內旋至掌心向外於膝蓋上方穿掌
左转 左轉
左转移重心到右腿 左轉移重心到右腿
带两手下落 帶兩手下落
带双手下按 帶雙手下按
带双手下落 帶雙手下落
带双手到身体右前方 帶雙手到身體右前方
带双手慢慢向下落于小腹前 帶雙手慢慢向下落於小腹前
带双臂内旋 帶雙臂內旋
带右手向前 帶右手向前
带右手至左胯前 帶右手至左胯前
带右拳到左胯前 帶右拳到左胯前
带右腿向左上步 帶右腿向左上步
带左手内旋到左膝上方 帶左手內旋到左膝上方
带左脚上步于右脚旁 帶左腳上步於右腳旁
往右脚尖方向提 往右腳尖方向提
往左拉开至左手手指向前 往左拉開至左手手指向前
微右转 微右轉
微右转右拳内旋至拳心向下 微右轉右拳內旋至拳心向下
微右转带左掌到身体前中线 微右轉帶左掌到身體前中線
微右转移重心到右腿 微右轉移重心到右腿
微外旋 微外旋
微左转 微左轉
微左转双手搓开 微左轉雙手搓開
微左转拉开 微左轉拉開
微顶右拳 微頂右拳
手到脚到 手到腳到
把左手带到左膝内侧 把左手帶到左膝內側
把身体撑起 把身體撐起
拳心向上 拳心向上
指尖向右前方 指尖向右前方
掌心向上落于小腹前 掌心向上落於小腹前
掌心向下 掌心向下
掌心向内 掌心向內
掌心向前 掌心向前
掌心向后 掌心向後
掌心向里 掌心向裡
掌心相对 掌心相對
掌背向前 掌背向前
提右脚往后撤步 提右腳往後撤步
提右腿 提右腿
提右腿上步 提右腿上步
提右膝 提右膝
提左腿 提左腿
提左腿向左铲出 提左腿向左鏟出
提至与肩同高 提至與肩同高
摆右脚 擺右腳
摆左脚尖 擺左腳尖
撤步 撤步
收右拳 收右拳
收右胯 收右胯
收右脚 收右腳
收右腿 收右腿
收右臂 收右臂
收左小臂 收左小臂
收左肘至手掌心斜向上 收左肘至手掌心斜向上
收拢至下腹部 收攏至下腹部
收腹 收腹
收腹下沉 收腹下沉
放松 放鬆
放松下沉 放鬆下沉
旋向指尖向右 旋向指尖向右
易太极十三式口诀 易太極十三式口訣
松手 鬆手
松肘 鬆肘
松肘至右拳心向左 鬆肘至右拳心向左
松肩 鬆肩
点地 點地
移重心到中间 移重心到中間
移重心到右腿 移重心到右腿
移重心到左腿 移重心到左腿
继续下沉 繼續下沉
继续右转 繼續右轉
继续左转 繼續左轉
翻右掌 翻右掌
翻右掌至斜下 翻右掌至斜下
翻左掌到掌心向前 翻左掌到掌心向前
翻左掌心向上 翻左掌心向上
翻掌 翻掌
翻掌至右掌心向外 翻掌至右掌心向外
肘 肘
胸腔膨胀 胸腔膨脹
至左手掌心向下 至左手掌心向下
至左掌指尖向右前方 至左掌指尖向右前方
至手掌斜下 至手掌斜下
至掌背向前 至掌背向前
